Question acceptedAnswer Answer
VideoGame musicBy MusicGroup
MovieSeries musicBy Person
MovieSeries musicBy MusicGroup
MusicComposition musicCompositionForm Text
MusicGroup musicGroupMember Person
MusicRelease musicReleaseFormat MusicReleaseFormatType
MusicComposition musicalKey Text
Organization naics Text
Person naics Text
Thing name Text
Role namedPosition Text
Role namedPosition URL
Person nationality Country
Person netWorth PriceSpecification
Person netWorth MonetaryAmount
ListItem nextItem ListItem
QualitativeValue nonEqual QualitativeValue
LodgingReservation numAdults QuantitativeValue
LodgingReservation numAdults Integer
LodgingReservation numChildren QuantitativeValue
LodgingReservation numChildren Integer
MusicPlaylist numTracks Integer
Vehicle numberOfAirbags Text
Vehicle numberOfAirbags Number
Vehicle numberOfAxles QuantitativeValue
Vehicle numberOfAxles Number
BedDetails numberOfBeds Number
Vehicle numberOfDoors QuantitativeValue
Vehicle numberOfDoors Number
BusinessAudience numberOfEmployees QuantitativeValue
Organization numberOfEmployees QuantitativeValue
VideoGameSeries numberOfEpisodes Integer
CreativeWorkSeason numberOfEpisodes Integer
TVSeries numberOfEpisodes Integer
RadioSeries numberOfEpisodes Integer
Vehicle numberOfForwardGears QuantitativeValue
Vehicle numberOfForwardGears Number
ItemList numberOfItems Integer
Book numberOfPages Integer
VideoGameSeries numberOfPlayers QuantitativeValue
Game numberOfPlayers QuantitativeValue
Vehicle numberOfPreviousOwners QuantitativeValue
Vehicle numberOfPreviousOwners Number
LodgingBusiness numberOfRooms QuantitativeValue
LodgingBusiness numberOfRooms Number
Accommodation numberOfRooms QuantitativeValue
Accommodation numberOfRooms Number
Suite numberOfRooms QuantitativeValue
Suite numberOfRooms Number
House numberOfRooms QuantitativeValue
House numberOfRooms Number
SingleFamilyResidence numberOfRooms QuantitativeValue
SingleFamilyResidence numberOfRooms Number
Apartment numberOfRooms QuantitativeValue
Apartment numberOfRooms Number
VideoGameSeries numberOfSeasons Integer
TVSeries numberOfSeasons Integer
RadioSeries numberOfSeasons Integer
OrganizationRole numberedPosition Number
Recipe nutrition NutritionInformation
MenuItem nutrition NutritionInformation
HotelRoom occupancy QuantitativeValue
Accommodation occupancy QuantitativeValue
Suite occupancy QuantitativeValue
SingleFamilyResidence occupancy QuantitativeValue
Apartment occupancy QuantitativeValue
Occupation occupationLocation AdministrativeArea
JobPosting occupationalCategory Text
Occupation occupationalCategory Text
AggregateOffer offerCount Integer
LocalBusiness openingHours Text
CivicStructure openingHours Text
Place openingHoursSpecification OpeningHoursSpecification
OpeningHoursSpecification opens Time
SoftwareApplication operatingSystem Text
ExerciseAction opponent Person
ChooseAction option Thing
ChooseAction option Text
Order orderDate Date
Order orderDate DateTime
OrderItem orderDelivery ParcelDelivery
Order orderDelivery ParcelDelivery
OrderItem orderItemNumber Text
OrderItem orderItemStatus OrderStatus
Order orderNumber Text
OrderItem orderQuantity QuantitativeValue
OrderItem orderQuantity Number
Order orderStatus OrderStatus
OrderItem orderedItem Product
OrderItem orderedItem OrderItem
OrderItem orderedItem Service
Order orderedItem Product
Order orderedItem OrderItem
Order orderedItem Service
Event organizer Organization
Event organizer Person
ParcelDelivery originAddress PostalAddress
OwnershipInfo ownedFrom DateTime
OwnershipInfo ownedThrough DateTime
Organization owns OwnershipInfo
Organization owns Product
Person owns OwnershipInfo
Person owns Product
PublicationIssue pageEnd Text
PublicationIssue pageEnd Integer
PublicationVolume pageEnd Text
PublicationVolume pageEnd Integer
Article pageEnd Text
Article pageEnd Integer
PublicationIssue pageStart Text
PublicationIssue pageStart Integer
PublicationVolume pageStart Text
PublicationVolume pageStart Integer
Article pageStart Text
Article pageStart Integer
PublicationIssue pagination Text
PublicationVolume pagination Text
Article pagination Text
Question parentItem Comment
Question parentItem CreativeWork
Comment parentItem Comment
Comment parentItem CreativeWork
Answer parentItem Comment
Answer parentItem CreativeWork
BroadcastService parentService BroadcastService
Person parents Person
Clip partOfEpisode Episode
Order partOfInvoice Invoice
ParcelDelivery partOfOrder Order
Clip partOfSeason CreativeWorkSeason
Episode partOfSeason CreativeWorkSeason
TVSeason partOfTVSeries TVSeries
TVEpisode partOfTVSeries TVSeries
TVClip partOfTVSeries TVSeries
FoodEstablishmentReservation partySize QuantitativeValue
FoodEstablishmentReservation partySize Integer
TaxiReservation partySize QuantitativeValue
TaxiReservation partySize Integer
FlightReservation passengerPriorityStatus Text
FlightReservation passengerPriorityStatus QualitativeValue
FlightReservation passengerSequenceNumber Text
LocalBusiness paymentAccepted Text
Order paymentDue DateTime
Invoice paymentDue DateTime
Order paymentMethod Text
Order paymentMethod PaymentMethod
Invoice paymentMethod Text
Invoice paymentMethod PaymentMethod
Order paymentMethodId Text
Invoice paymentMethodId Text
Invoice paymentStatus PaymentStatusType
Invoice paymentStatus Text
Order paymentUrl URL
QuantitativeValueDistribution percentile10 Number
QuantitativeValueDistribution percentile25 Number
QuantitativeValueDistribution percentile75 Number
QuantitativeValueDistribution percentile90 Number
Person performerIn Event
Event performers Organization
Event performers Person
DigitalDocumentPermission permissionType DigitalDocumentPermissionType
SoftwareApplication permissions Text
Permit permitAudience Audience
Accommodation permittedUsage Text
Accommodation petsAllowed Boolean
Accommodation petsAllowed Text
LodgingBusiness petsAllowed Boolean
LodgingBusiness petsAllowed Text
Place photos ImageObject
Place photos Photograph
TaxiReservation pickupLocation Place
RentalCarReservation pickupLocation Place
TaxiReservation pickupTime DateTime
RentalCarReservation pickupTime DateTime
VideoGameSeries playMode GamePlayMode
VideoGame playMode GamePlayMode
MediaObject playerType Text
GameServer playersOnline Integer
GeoShape polygon Text
PostalAddress postOfficeBoxNumber Text
DefinedRegion postalCode Text
GeoShape postalCode Text
PostalAddress postalCode Text
GeoCoordinates postalCode Text
PostalCodeRangeSpecification postalCodeBegin Text
PostalCodeRangeSpecification postalCodeEnd Text
DefinedRegion postalCodePrefix Text
DefinedRegion postalCodeRange PostalCodeRangeSpecification
Thing potentialAction Action
ProductModel predecessorOf ProductModel
HowTo prepTime Duration
HowToDirection prepTime Duration
ListItem previousItem ListItem
Event previousStartDate Date
TradeAction price Text
TradeAction price Number
Offer price Text
Offer price Number
PriceSpecification price Text
PriceSpecification price Number
DonateAction price Text
DonateAction price Number
CompoundPriceSpecification priceComponent UnitPriceSpecification
TradeAction priceCurrency Text
PriceSpecification priceCurrency Text
Offer priceCurrency Text
Ticket priceCurrency Text
DonateAction priceCurrency Text
Reservation priceCurrency Text
LocalBusiness priceRange Text
TradeAction priceSpecification PriceSpecification
Offer priceSpecification PriceSpecification
Demand priceSpecification PriceSpecification
DonateAction priceSpecification PriceSpecification
UnitPriceSpecification priceType Text
Offer priceValidUntil Date
WebPage primaryImageOfPage ImageObject
NewsArticle printColumn Text
NewsArticle printEdition Text
NewsArticle printPage Text
NewsArticle printSection Text
ServiceChannel processingTime Duration
SoftwareApplication processorRequirements Text
CreativeWork producer Organization
CreativeWork producer Person
Service produces Thing
Product productID Text
ContactPoint productSupported Product
ContactPoint productSupported Text
VideoGameSeries productionCompany Organization
TVSeries productionCompany Organization
Movie productionCompany Organization
RadioSeries productionCompany Organization
Episode productionCompany Organization
CreativeWorkSeason productionCompany Organization
MovieSeries productionCompany Organization
MediaObject productionCompany Organization
Product productionDate Date
Vehicle productionDate Date
TechArticle proficiencyLevel Text
Reservation programMembershipUsed ProgramMembership
ProgramMembership programName Text
SoftwareSourceCode programmingLanguage Text
SoftwareSourceCode programmingLanguage ComputerLanguage
APIReference programmingModel Text
PropertyValue propertyID Text
PropertyValue propertyID URL
NutritionInformation proteinContent Mass
Service providerMobility Text
ServiceChannel providesService Service
Place publicAccess Boolean
CreativeWork publication PublicationEvent
PublicationEvent publishedOn BroadcastService
FinancialIncentive publisher Organization
FinancialIncentive publisher Person
CreativeWork publisher Organization
CreativeWork publisher Person
Organization publishingPrinciples URL
Organization publishingPrinciples CreativeWork
Person publishingPrinciples URL
Person publishingPrinciples CreativeWork
CreativeWork publishingPrinciples URL
CreativeWork publishingPrinciples CreativeWork
Product purchaseDate Date
Vehicle purchaseDate Date
JobPosting qualifications Text
Occupation qualifications Text
SearchAction query Text
VideoGameSeries quest Thing
Game quest Thing
AskAction question Question
AggregateRating ratingCount Integer
Rating ratingValue Text
Rating ratingValue Number
PropertyValueSpecification readonlyValue Boolean
RentAction realEstateAgent RealEstateAgent
CookAction recipe Recipe
Recipe recipeCategory Text
Recipe recipeCuisine Text
Recipe recipeInstructions Text
Recipe recipeInstructions CreativeWork
Recipe recipeYield QuantitativeValue
Recipe recipeYield Text
MusicRelease recordLabel Organization
SportsEvent referee Person
UnitPriceSpecification referenceQuantity QuantitativeValue
Invoice referencesOrder Order
MediaObject regionsAllowed Place
WebPage relatedLink URL
Person relatedTo Person
Product releaseDate Date
SoftwareApplication releaseNotes Text
SoftwareApplication releaseNotes URL
CreativeWork releasedEvent PublicationEvent
JobPosting relevantOccupation Occupation
Event remainingAttendeeCapacity Integer
ReplaceAction replacee Thing
ReplaceAction replacer Thing
UserComments replyToUrl URL
Report reportNumber Text
ImageObject representativeOfPage Boolean
LoanOrCredit requiredCollateral Thing
LoanOrCredit requiredCollateral Text
PeopleAudience requiredGender Text
PeopleAudience requiredMaxAge Integer
PeopleAudience requiredMinAge Integer
HowToItem requiredQuantity QuantitativeValue
HowToItem requiredQuantity Text
HowToItem requiredQuantity Number
SoftwareApplication requirements Text
SoftwareApplication requirements URL
ActionAccessSpecification requiresSubscription Boolean
ActionAccessSpecification requiresSubscription MediaSubscription
MediaObject requiresSubscription Boolean
MediaObject requiresSubscription MediaSubscription
Reservation reservationFor Thing
Reservation reservationId Text
Reservation reservationStatus ReservationStatusType
Reservation reservedTicket Ticket
JobPosting responsibilities Text
Occupation responsibilities Text
CommentAction resultComment Comment
ReplyAction resultComment Comment
ReviewAction resultReview Review
Rating reviewAspect Text
Review reviewAspect Text
Review reviewBody Text
AggregateRating reviewCount Integer
Review reviewRating Rating
WebPage reviewedBy Organization
WebPage reviewedBy Person
Product reviews Review
Offer reviews Review
CreativeWork reviews Review
Place reviews Review
Organization reviews Review
RsvpAction rsvpResponse RsvpResponseType
SoftwareSourceCode runtime Text
JobPosting salaryCurrency Text
EmployeeRole salaryCurrency Text
Thing sameAs URL
SoftwareSourceCode sampleType Text
NutritionInformation saturatedFatContent Mass
Invoice scheduledPaymentDate Date
PlanAction scheduledTime Date
PlanAction scheduledTime DateTime
CreativeWork schemaVersion Text
CreativeWork schemaVersion URL
MovieTheater screenCount Number
SoftwareApplication screenshot ImageObject
SoftwareApplication screenshot URL
CreativeWorkSeason seasonNumber Text
CreativeWorkSeason seasonNumber Integer
VideoGameSeries seasons CreativeWorkSeason
TVSeries seasons CreativeWorkSeason
RadioSeries seasons CreativeWorkSeason
Seat seatNumber Text
Seat seatRow Text
Seat seatSection Text
Seat seatingType Text
Seat seatingType QualitativeValue
FlightReservation securityScreening Text
Organization seeks Demand
Person seeks Demand
Message sender Organization
Message sender Audience
Message sender Person
ReceiveAction sender Organization
ReceiveAction sender Audience
ReceiveAction sender Person
GameServer serverStatus GameServerStatus
FoodEstablishment servesCuisine Text
Service serviceAudience Audience
ServiceChannel serviceLocation Place
GovernmentService serviceOperator Organization
ServiceChannel servicePhone ContactPoint
ServiceChannel servicePostalAddress PostalAddress
ServiceChannel serviceSmsNumber ContactPoint
Service serviceType Text
ServiceChannel serviceUrl URL
NutritionInformation servingSize Text
SocialMediaPosting sharedContent CreativeWork
Comment sharedContent CreativeWork
DeliveryTimeSettings shippingDestination DefinedRegion
ShippingRateSettings shippingDestination DefinedRegion
OfferShippingDetails shippingDestination DefinedRegion
Offer shippingDetails OfferShippingDetails
OfferShippingDetails shippingLabel Text
ShippingRateSettings shippingLabel Text
OfferShippingDetails shippingOrigin DefinedRegion
OfferShippingDetails shippingRate MonetaryAmount
ShippingRateSettings shippingRate MonetaryAmount
OfferShippingDetails shippingSettingsLink URL
Person siblings Person
WebPage significantLinks URL
Organization skills DefinedTerm
Organization skills Text
Person skills DefinedTerm
Person skills Text
JobPosting skills DefinedTerm
JobPosting skills Text
Occupation skills DefinedTerm
Occupation skills Text
Product sku Text
Demand sku Text
Offer sku Text
Product slogan Text
Place slogan Text
Organization slogan Text
Service slogan Text
Brand slogan Text
Place smokingAllowed Boolean
NutritionInformation sodiumContent Mass
SoftwareApplication softwareAddOn SoftwareApplication
SoftwareApplication softwareHelp CreativeWork
SoftwareApplication softwareVersion Text
CreativeWork sourceOrganization Organization
CreativeWork spatial Place
CreativeWork spatialCoverage Place
WebPage speakable SpeakableSpecification
WebPage speakable URL
Article speakable SpeakableSpecification
Article speakable URL
JobPosting specialCommitments Text
Place specialOpeningHoursSpecification OpeningHoursSpecification
WebPage specialty Specialty
SportsOrganization sport Text
SportsOrganization sport URL
ExerciseAction sportsActivityLocation SportsActivityLocation
ExerciseAction sportsEvent SportsEvent
ExerciseAction sportsTeam SportsTeam
Person spouse Person
FoodEstablishment starRating Rating
LodgingBusiness starRating Rating
CreativeWorkSeries startDate Date
CreativeWorkSeries startDate DateTime
MerchantReturnPolicySeasonalOverride startDate Date
MerchantReturnPolicySeasonalOverride startDate DateTime
CreativeWorkSeason startDate Date
CreativeWorkSeason startDate DateTime
Event startDate Date
Event startDate DateTime
DatedMoneySpecification startDate Date
DatedMoneySpecification startDate DateTime
Role startDate Date
Role startDate DateTime
InteractionCounter startTime DateTime
InteractionCounter startTime Time
FoodEstablishmentReservation startTime DateTime
FoodEstablishmentReservation startTime Time
Action startTime DateTime
Action startTime Time
MediaObject startTime DateTime
MediaObject startTime Time
Vehicle steeringPosition SteeringPositionValue
PropertyValueSpecification stepValue Number
HowTo steps Text
HowTo steps CreativeWork
HowToSection steps Text
HowToSection steps CreativeWork
SoftwareApplication storageRequirements Text
SoftwareApplication storageRequirements URL
PostalAddress streetAddress Text
Event subEvents Event
ReservationPackage subReservation Reservation
Movie subtitleLanguage Language
Movie subtitleLanguage Text
TVEpisode subtitleLanguage Language
TVEpisode subtitleLanguage Text
ScreeningEvent subtitleLanguage Language
ScreeningEvent subtitleLanguage Text
ProductModel successorOf ProductModel
NutritionInformation sugarContent Mass
PeopleAudience suggestedGender GenderType
PeopleAudience suggestedGender Text
PeopleAudience suggestedMaxAge Number
PeopleAudience suggestedMinAge Number
Recipe suitableForDiet RestrictedDiet
MenuItem suitableForDiet RestrictedDiet
SoftwareApplication supportingData DataFeed
VisualArtwork surface Text
VisualArtwork surface URL
Action target URL
Action target EntryPoint
AlignmentObject targetDescription Text
AlignmentObject targetName Text
APIReference targetPlatform Text
SoftwareSourceCode targetProduct SoftwareApplication
AlignmentObject targetUrl URL
Organization taxID Text
Person taxID Text
ContactPoint telephone Text
Place telephone Text
Organization telephone Text
Person telephone Text
CreativeWork temporal DateTime
CreativeWork temporal Text
CreativeWork text Text
CreativeWork thumbnail ImageObject
CreativeWork thumbnailUrl URL
Corporation tickerSymbol Text
Ticket ticketNumber Text
Ticket ticketToken Text
Ticket ticketToken URL
Ticket ticketedSeat Seat
CreativeWork timeRequired Duration
JobPosting title Text
TransferAction toLocation Place
MoveAction toLocation Place
InsertAction toLocation Place
ExerciseAction toLocation Place
Message toRecipient ContactPoint
Message toRecipient Organization
Message toRecipient Audience
Message toRecipient Person
HowTo tool HowToTool
HowTo tool Text
HowToDirection tool HowToTool
HowToDirection tool Text
Invoice totalPaymentDue PriceSpecification
Invoice totalPaymentDue MonetaryAmount
Reservation totalPrice PriceSpecification
Reservation totalPrice Text
Reservation totalPrice Number
Ticket totalPrice PriceSpecification
Ticket totalPrice Text
Ticket totalPrice Number
HowTo totalTime Duration
HowToDirection totalTime Duration
TouristAttraction touristType Audience
TouristAttraction touristType Text
ParcelDelivery trackingNumber Text
ParcelDelivery trackingUrl URL
MusicPlaylist tracks MusicRecording
MusicGroup tracks MusicRecording
VideoGameSeries trailer VideoObject
TVSeries trailer VideoObject
Movie trailer VideoObject
RadioSeries trailer VideoObject
Episode trailer VideoObject
CreativeWorkSeason trailer VideoObject
VideoGame trailer VideoObject
MovieSeries trailer VideoObject
TrainTrip trainName Text
TrainTrip trainNumber Text
NutritionInformation transFatContent Mass
VideoObject transcript Text
AudioObject transcript Text
ShippingDeliveryTime transitTime QuantitativeValue
DeliveryTimeSettings transitTimeLabel Text
OfferShippingDetails transitTimeLabel Text
Event translator Organization
Event translator Person
CreativeWork translator Organization
CreativeWork translator Person
Trip tripOrigin Place
BedDetails typeOfBed Text
BedDetails typeOfBed BedType
OwnershipInfo typeOfGood Product
OwnershipInfo typeOfGood Service
TypeAndQuantityNode typeOfGood Product
TypeAndQuantityNode typeOfGood Service
Event typicalAgeRange Text
CreativeWork typicalAgeRange Text
Reservation underName Organization
Reservation underName Person
Ticket underName Organization
Ticket underName Person
UnitPriceSpecification unitCode Text
UnitPriceSpecification unitCode URL
QuantitativeValue unitCode Text
QuantitativeValue unitCode URL
PropertyValue unitCode Text
PropertyValue unitCode URL
TypeAndQuantityNode unitCode Text
TypeAndQuantityNode unitCode URL
UnitPriceSpecification unitText Text
QuantitativeValue unitText Text
PropertyValue unitText Text
TypeAndQuantityNode unitText Text
NutritionInformation unsaturatedFatContent Mass
MediaObject uploadDate Date
MediaObject uploadDate DateTime
Comment upvoteCount Integer
Thing url URL
EntryPoint urlTemplate Text
InteractionCounter userInteractionCount Integer
Permit validFor Duration
Permit validFrom Date
Permit validFrom DateTime
MonetaryAmount validFrom Date
MonetaryAmount validFrom DateTime
PriceSpecification validFrom Date
PriceSpecification validFrom DateTime
LocationFeatureSpecification validFrom Date
LocationFeatureSpecification validFrom DateTime
Certification validFrom Date
Certification validFrom DateTime
Offer validFrom Date
Offer validFrom DateTime
OpeningHoursSpecification validFrom Date
OpeningHoursSpecification validFrom DateTime
Demand validFrom Date
Demand validFrom DateTime
Permit validIn AdministrativeArea
Certification validIn AdministrativeArea
MonetaryAmount validThrough Date
MonetaryAmount validThrough DateTime
PriceSpecification validThrough Date
PriceSpecification validThrough DateTime
LocationFeatureSpecification validThrough Date
LocationFeatureSpecification validThrough DateTime
Offer validThrough Date
Offer validThrough DateTime
JobPosting validThrough Date
JobPosting validThrough DateTime
OpeningHoursSpecification validThrough Date
OpeningHoursSpecification validThrough DateTime
Demand validThrough Date
Demand validThrough DateTime
Permit validUntil Date
QuantitativeValue value StructuredValue
QuantitativeValue value Boolean
QuantitativeValue value Text
QuantitativeValue value Number
PropertyValue value StructuredValue
PropertyValue value Boolean
PropertyValue value Text
PropertyValue value Number
MonetaryAmount value StructuredValue
MonetaryAmount value Boolean
MonetaryAmount value Text
MonetaryAmount value Number
PriceSpecification valueAddedTaxIncluded Boolean
PropertyValueSpecification valueMaxLength Number
PropertyValueSpecification valueMinLength Number
PropertyValueSpecification valueName Text
PropertyValueSpecification valuePattern Text
QuantitativeValue valueReference Enumeration
QuantitativeValue valueReference QualitativeValue
QuantitativeValue valueReference StructuredValue
QuantitativeValue valueReference QuantitativeValue
QuantitativeValue valueReference PropertyValue
PropertyValue valueReference Enumeration
PropertyValue valueReference QualitativeValue
PropertyValue valueReference StructuredValue
PropertyValue valueReference QuantitativeValue
PropertyValue valueReference PropertyValue
QualitativeValue valueReference Enumeration
QualitativeValue valueReference QualitativeValue
QualitativeValue valueReference StructuredValue
QualitativeValue valueReference QuantitativeValue
QualitativeValue valueReference PropertyValue
PropertyValueSpecification valueRequired Boolean
Organization vatID Text
Person vatID Text
Vehicle vehicleConfiguration Text
Vehicle vehicleEngine EngineSpecification
Vehicle vehicleIdentificationNumber Text
Vehicle vehicleInteriorColor Text
Vehicle vehicleInteriorType Text
Vehicle vehicleModelDate Date
Vehicle vehicleSeatingCapacity QuantitativeValue
Vehicle vehicleSeatingCapacity Number
Vehicle vehicleSpecialUsage Text
Vehicle vehicleTransmission Text
Vehicle vehicleTransmission QualitativeValue
Vehicle vehicleTransmission URL
BuyAction vendor Organization
BuyAction vendor Person
CreativeWork version Text
CreativeWork version Number
CreativeWork video VideoObject
CreativeWork video Clip
BroadcastService videoFormat Text
BroadcastEvent videoFormat Text
ScreeningEvent videoFormat Text
VideoObject videoFrameSize Text
VideoObject videoQuality Text
PublicationVolume volumeNumber Text
PublicationVolume volumeNumber Integer
BuyAction warrantyPromise WarrantyPromise
SellAction warrantyPromise WarrantyPromise
WarrantyPromise warrantyScope WarrantyScope
Flight webCheckinTime DateTime
OfferShippingDetails weight QuantitativeValue
Product weight QuantitativeValue
Person weight QuantitativeValue
VisualArtwork weight QuantitativeValue
OfferShippingDetails width QuantitativeValue
OfferShippingDetails width Distance
Product width QuantitativeValue
Product width Distance
MediaObject width QuantitativeValue
MediaObject width Distance
VisualArtwork width QuantitativeValue
VisualArtwork width Distance
LoseAction winner Person
Article wordCount Integer
CreativeWork wordCount Integer
JobPosting workHours Text
Person workLocation ContactPoint
Person workLocation Place
Event workPerformed CreativeWork
ScreeningEvent workPresented Movie
Person worksFor Organization
Rating worstRating Text
Rating worstRating Number
SpeakableSpecification xpath XPathType
WebPageElement xpath XPathType
BusinessAudience yearlyRevenue QuantitativeValue
BusinessAudience yearsInOperation QuantitativeValue
EntryPoint actionApplication SoftwareApplication
ChooseAction actionOption Thing
ChooseAction actionOption Text
VideoGameSeries actor PerformingGroup
VideoGameSeries actor Person
TVSeries actor PerformingGroup
TVSeries actor Person
Movie actor PerformingGroup
Movie actor Person
RadioSeries actor PerformingGroup
RadioSeries actor Person
Episode actor PerformingGroup
Episode actor Person
VideoObject actor PerformingGroup
VideoObject actor Person
Clip actor PerformingGroup
Clip actor Person
CreativeWorkSeason actor PerformingGroup
CreativeWorkSeason actor Person
PodcastSeries actor PerformingGroup
PodcastSeries actor Person
VideoGame actor PerformingGroup
VideoGame actor Person
Event actor PerformingGroup
Event actor Person
MovieSeries actor PerformingGroup
MovieSeries actor Person
MusicGroup album MusicAlbum
MusicAlbum albumRelease MusicRelease
Thing alternateName Text
EducationalOrganization alumni Person
Organization alumni Person
Person alumniOf EducationalOrganization
Person alumniOf Organization
VisualArtwork artworkSurface Text
VisualArtwork artworkSurface URL
Event attendee Organization
Event attendee Person
Product audience Audience
LodgingBusiness audience Audience
CreativeWork audience Audience
PlayAction audience Audience
Event audience Audience
Service audience Audience
SoftwareApplication availableOnDevice Text
Product award Text
Person award Text
CreativeWork award Text
Organization award Text
Service award Text
Blog blogPost BlogPosting
Reservation broker Organization
Reservation broker Person
Service broker Organization
Service broker Person
Order broker Organization
Order broker Person
Invoice broker Organization
Invoice broker Person
SoftwareSourceCode codeSampleType Text
Person colleague Person
Person colleague URL
Organization contactPoint ContactPoint
Person contactPoint ContactPoint
Place containsPlace Place
VideoGameSeries containsSeason CreativeWorkSeason
TVSeries containsSeason CreativeWorkSeason
RadioSeries containsSeason CreativeWorkSeason
CreativeWork contentLocation Place
DataCatalog dataset Dataset
Thing description Text
Thing description TextObject
VideoGameSeries director Person
TVSeries director Person
Movie director Person
RadioSeries director Person
Episode director Person
VideoObject director Person
Clip director Person
CreativeWorkSeason director Person
VideoGame director Person
Event director Person
MovieSeries director Person
MusicRelease duration Duration
Movie duration Duration
Episode duration Duration
MusicRecording duration Duration
Event duration Duration
MediaObject duration Duration
QuantitativeValueDistribution duration Duration
Organization employee Person
MediaObject encodesCreativeWork CreativeWork
MediaObject encodingFormat Text
MediaObject encodingFormat URL
CreativeWork encodingFormat Text
CreativeWork encodingFormat URL
VideoGameSeries episode Episode
CreativeWorkSeason episode Episode
TVSeries episode Episode
RadioSeries episode Episode
InviteAction event Event
Place event Event
PlayAction event Event
JoinAction event Event
InformAction event Event
LeaveAction event Event
Organization event Event
CreativeWork exampleOfWork CreativeWork
APIReference executableLibraryName Text
ExerciseAction exerciseCourse Place
Organization founder Organization
Organization founder Person
GameServer game VideoGame
VideoGame gameServer GameServer
BroadcastService hasBroadcastChannel BroadcastChannel
FoodEstablishment hasMenu Text
FoodEstablishment hasMenu Menu
FoodEstablishment hasMenu URL
CommunicateAction inLanguage Language
CommunicateAction inLanguage Text
Event inLanguage Language
Event inLanguage Text
WriteAction inLanguage Language
WriteAction inLanguage Text
CreativeWork inLanguage Language
CreativeWork inLanguage Text
JobPosting incentiveCompensation Text
CreativeWork interactionStatistic InteractionCounter
Place isAccessibleForFree Boolean
Event isAccessibleForFree Boolean
CreativeWork isAccessibleForFree Boolean
CreativeWork isBasedOn Product
CreativeWork isBasedOn URL
CreativeWork isBasedOn CreativeWork
Demand itemOffered Product
Demand itemOffered MenuItem
Demand itemOffered AggregateOffer
Demand itemOffered CreativeWork
Demand itemOffered Event
Demand itemOffered Service
Demand itemOffered Trip
Offer itemOffered Product
Offer itemOffered MenuItem
Offer itemOffered AggregateOffer
Offer itemOffered CreativeWork
Offer itemOffered Event
Offer itemOffered Service
Offer itemOffered Trip
JobPosting jobBenefits Text
CreativeWork mainEntity Thing
Thing mainEntityOfPage URL
Thing mainEntityOfPage CreativeWork
Organization makesOffer Offer
Person makesOffer Offer
Offer offeredBy Organization
Offer offeredBy Person
Product offers Demand
Product offers Offer
MenuItem offers Demand
MenuItem offers Offer
AggregateOffer offers Demand
AggregateOffer offers Offer
CreativeWork offers Demand
CreativeWork offers Offer
Event offers Demand
Event offers Offer
Service offers Demand
Service offers Offer
Trip offers Demand
Trip offers Offer
Person parent Person
Clip partOfSeries CreativeWorkSeries
CreativeWorkSeason partOfSeries CreativeWorkSeries
Episode partOfSeries CreativeWorkSeries
Order paymentDueDate Date
Order paymentDueDate DateTime
Invoice paymentDueDate Date
Invoice paymentDueDate DateTime
HowTo performTime Duration
HowToDirection performTime Duration
Event performer Organization
Event performer Person
Place photo ImageObject
Place photo Photograph
Invoice provider Organization
Invoice provider Person
CreativeWork provider Organization
CreativeWork provider Person
ParcelDelivery provider Organization
ParcelDelivery provider Person
Reservation provider Organization
Reservation provider Person
Service provider Organization
Service provider Person
Trip provider Organization
Trip provider Person
BroadcastChannel providesBroadcastService BroadcastService
Recipe recipeIngredient PropertyValue
Recipe recipeIngredient Text
MusicComposition recordedAs MusicRecording
CreativeWork recordedAt Event
Event recordedIn CreativeWork
MusicRecording recordingOf MusicComposition
MusicRelease releaseOf MusicAlbum
Product review Review
Event review Review
Offer review Review
CreativeWork review Review
Place review Review
Organization review Review
Service review Review
Brand review Review
Role roleName Text
Role roleName URL
SoftwareSourceCode runtimePlatform Text
VideoGameSeries season CreativeWorkSeason
VideoGameSeries season URL
TVSeries season CreativeWorkSeason
TVSeries season URL
RadioSeries season CreativeWorkSeason
RadioSeries season URL
Demand serialNumber Text
Offer serialNumber Text
IndividualProduct serialNumber Text
ContactPoint serviceArea AdministrativeArea
ContactPoint serviceArea Place
ContactPoint serviceArea GeoShape
Organization serviceArea AdministrativeArea
Organization serviceArea Place
Organization serviceArea GeoShape
Service serviceArea AdministrativeArea
Service serviceArea Place
Service serviceArea GeoShape
Service serviceOutput Thing
Person sibling Person
WebPage significantLink URL
SoftwareApplication softwareRequirements Text
SoftwareApplication softwareRequirements URL
Organization sponsor Organization
Organization sponsor Person
Event sponsor Organization
Event sponsor Person
Person sponsor Organization
Person sponsor Person
CreativeWork sponsor Organization
CreativeWork sponsor Person
Organization subOrganization Organization
Thing subjectOf Event
Thing subjectOf CreativeWork
Question suggestedAnswer Answer
Event superEvent Event
UpdateAction targetCollection Thing
CreativeWork temporalCoverage DateTime
CreativeWork temporalCoverage Text
CreativeWork temporalCoverage URL
MusicPlaylist track MusicRecording
MusicGroup track MusicRecording
Demand warranty WarrantyPromise
Offer warranty WarrantyPromise
CreativeWork workExample CreativeWork
HowTo yield QuantitativeValue
HowTo yield Text
CommunicateAction about Thing
Certification about Thing
Event about Thing
CreativeWork about Thing
SportsEvent competitor SportsTeam
SportsEvent competitor Person
Place containedInPlace Place
CreativeWork encoding MediaObject
Place hasMap URL
Place hasMap Map
Thing image ImageObject
