Question acceptedAnswer Answer
HowToDirection beforeMedia URL
JobPosting benefits Text
Rating bestRating Text
Rating bestRating Number
Order billingAddress PostalAddress
UnitPriceSpecification billingIncrement Number
Invoice billingPeriod Duration
Person birthDate Date
Person birthPlace Place
MediaObject bitrate Text
Blog blogPosts BlogPosting
FlightReservation boardingGroup Text
Flight boardingPolicy BoardingPolicyType
Airline boardingPolicy BoardingPolicyType
Book bookEdition Text
Book bookFormat BookFormatType
Reservation bookingAgent Organization
Reservation bookingAgent Person
Reservation bookingTime DateTime
LendAction borrower Person
GeoShape box Text
Place branchCode Text
LocalBusiness branchOf Organization
Organization brand Organization
Organization brand Brand
Product brand Organization
Product brand Brand
Service brand Organization
Service brand Brand
Person brand Organization
Person brand Brand
WebPage breadcrumb Text
WebPage breadcrumb BreadcrumbList
BroadcastService broadcastAffiliateOf Organization
BroadcastChannel broadcastChannelId Text
BroadcastService broadcastDisplayName Text
BroadcastService broadcastFrequency BroadcastFrequencySpecification
BroadcastService broadcastFrequency Text
BroadcastChannel broadcastFrequency BroadcastFrequencySpecification
BroadcastChannel broadcastFrequency Text
BroadcastFrequencySpecification broadcastFrequencyValue QuantitativeValue
BroadcastFrequencySpecification broadcastFrequencyValue Number
BroadcastEvent broadcastOfEvent Event
BroadcastChannel broadcastServiceTier Text
BroadcastService broadcastTimezone Text
BroadcastService broadcaster Organization
WebApplication browserRequirements Text
BusTrip busName Text
BusTrip busNumber Text
ShippingDeliveryTime businessDays OpeningHoursSpecification
TypeAndQuantityNode businessFunction BusinessFunction
Demand businessFunction BusinessFunction
Offer businessFunction BusinessFunction
SellAction buyer Organization
SellAction buyer Person
MusicAlbum byArtist Person
MusicAlbum byArtist MusicGroup
MusicRecording byArtist Person
MusicRecording byArtist MusicGroup
NutritionInformation calories Energy
VoteAction candidate Person
VideoObject caption Text
VideoObject caption MediaObject
AudioObject caption Text
AudioObject caption MediaObject
ImageObject caption Text
ImageObject caption MediaObject
NutritionInformation carbohydrateContent Mass
Vehicle cargoVolume QuantitativeValue
ParcelDelivery carrier Organization
Flight carrier Organization
MobileApplication carrierRequirements Text
Dataset catalog DataCatalog
MusicRelease catalogNumber Text
ActionAccessSpecification category Thing
ActionAccessSpecification category Text
Product category Thing
Product category Text
Offer category Thing
Offer category Text
Invoice category Thing
Invoice category Text
Service category Thing
Service category Text
Message ccRecipient ContactPoint
Message ccRecipient Organization
Message ccRecipient Person
CreativeWork character Person
VideoGameSeries characterAttribute Thing
Game characterAttribute Thing
PerformanceRole characterName Text
VideoGameSeries cheatCode CreativeWork
VideoGame cheatCode CreativeWork
LodgingBusiness checkinTime DateTime
LodgingBusiness checkinTime Time
LodgingReservation checkinTime DateTime
LodgingReservation checkinTime Time
LodgingBusiness checkoutTime DateTime
LodgingBusiness checkoutTime Time
LodgingReservation checkoutTime DateTime
LodgingReservation checkoutTime Time
ParentAudience childMaxAge Number
ParentAudience childMinAge Number
Person children Person
NutritionInformation cholesterolContent Mass
GeoShape circle Text
CreativeWork citation Text
CreativeWork citation CreativeWork
ClaimReview claimReviewed Text
Clip clipNumber Text
Clip clipNumber Integer
OpeningHoursSpecification closes Time
SportsTeam coach Person
SoftwareSourceCode codeRepository URL
Person colleagues Person
UpdateAction collection Thing
Product color Text
RsvpAction comment Comment
CreativeWork comment Comment
CreativeWork commentCount Integer
UserComments commentText Text
UserComments commentTime Date
UserComments commentTime DateTime
Event composer Organization
Event composer Person
MusicComposition composer Organization
MusicComposition composer Person
Order confirmationNumber Text
Invoice confirmationNumber Text
ContactPoint contactOption ContactPointOption
Organization contactPoints ContactPoint
Person contactPoints ContactPoint
ContactPoint contactType Text
Place containedIn Place
CreativeWork contentRating Rating
CreativeWork contentRating Text
MediaObject contentSize Text
EntryPoint contentType Text
MediaObject contentUrl URL
Event contributor Organization
Event contributor Person
CreativeWork contributor Organization
CreativeWork contributor Person
Recipe cookTime Duration
Recipe cookingMethod Text
CreativeWork copyrightHolder Organization
CreativeWork copyrightHolder Person
CreativeWork copyrightYear Number
SoftwareApplication countriesNotSupported Text
SoftwareApplication countriesSupported Text
Product countryOfOrigin Country
TVEpisode countryOfOrigin Country
TVSeries countryOfOrigin Country
Movie countryOfOrigin Country
CreativeWork countryOfOrigin Country
TVSeason countryOfOrigin Country
ExerciseAction course Place
Course courseCode Text
CourseInstance courseMode Text
CourseInstance courseMode URL
Course coursePrerequisites Text
Course coursePrerequisites Course
Course coursePrerequisites AlignmentObject
LiveBlogPosting coverageEndTime DateTime
LiveBlogPosting coverageStartTime DateTime
UserComments creator Organization
UserComments creator Person
CreativeWork creator Organization
CreativeWork creator Person
MusicRelease creditedTo Organization
MusicRelease creditedTo Person
SpeakableSpecification cssSelector CssSelectorType
WebPageElement cssSelector CssSelectorType
LocalBusiness currenciesAccepted Text
MonetaryAmount currency Text
DatedMoneySpecification currency Text
MonetaryAmountDistribution currency Text
Order customer Organization
Order customer Person
Invoice customer Organization
Invoice customer Person
ShippingDeliveryTime cutoffTime Time
DataFeed dataFeedElement Thing
DataFeed dataFeedElement Text
DataFeed dataFeedElement DataFeedItem
Dataset datasetTimeInterval DateTime
DataFeedItem dateCreated Date
DataFeedItem dateCreated DateTime
CreativeWork dateCreated Date
CreativeWork dateCreated DateTime
DataFeedItem dateDeleted Date
DataFeedItem dateDeleted DateTime
Ticket dateIssued Date
Ticket dateIssued DateTime
DataFeedItem dateModified Date
DataFeedItem dateModified DateTime
CreativeWork dateModified Date
CreativeWork dateModified DateTime
JobPosting datePosted Date
Certification datePublished Date
Certification datePublished DateTime
CreativeWork datePublished Date
CreativeWork datePublished DateTime
Message dateRead Date
Message dateRead DateTime
Message dateReceived DateTime
Message dateSent DateTime
Vehicle dateVehicleFirstRegistered Date
NewsArticle dateline Text
OpeningHoursSpecification dayOfWeek DayOfWeek
Person deathDate Date
Person deathPlace Place
PropertyValueSpecification defaultValue Thing
PropertyValueSpecification defaultValue Text
ParcelDelivery deliveryAddress PostalAddress
Demand deliveryLeadTime QuantitativeValue
Offer deliveryLeadTime QuantitativeValue
SendAction deliveryMethod DeliveryMethod
OrderAction deliveryMethod DeliveryMethod
TrackAction deliveryMethod DeliveryMethod
ReceiveAction deliveryMethod DeliveryMethod
ParcelDelivery deliveryStatus DeliveryEvent
DeliveryTimeSettings deliveryTime ShippingDeliveryTime
OfferShippingDetails deliveryTime ShippingDeliveryTime
Organization department Organization
Flight departureAirport Airport
BusTrip departureBusStop BusStation
BusTrip departureBusStop BusStop
Flight departureGate Text
TrainTrip departurePlatform Text
TrainTrip departureStation TrainStation
Flight departureTerminal Text
Trip departureTime DateTime
Trip departureTime Time
TechArticle dependencies Text
OfferShippingDetails depth QuantitativeValue
OfferShippingDetails depth Distance
Product depth QuantitativeValue
Product depth Distance
VisualArtwork depth QuantitativeValue
